image,predictions
test0.png,"Every path is, the right path."
test1.jpeg,"on, PULSE, 74, S, / min, S"
test10.jpeg,"OMRON, SYS, 141, 84, mmHg"
test11.png,"OMRON, ..., 106, ---"
test12.png,"OMRon -WWW, 开物, 停止"
test13.png,
test14.png,
test15.png,
test16.png,
test17.png,106
test18.png,
test19.png,
test2.jpeg,"on, SYS, 127, DIA, 79, mmHg, mmHg"
test20.png,08686
test3.jpeg,"n, PULSE, 74, / min"
test4.jpeg,"on, SYS, 127, DIA, 79, mmHg, mmHg"
test5.jpeg,"PULSE 74, Imin"
test6.jpeg,SYS 127 DIA 79
test7.jpeg,"PULSE, 67, · /min"
test8.jpeg,"SYS, 125, DIA, 78, mmHg"
test9.jpeg,"OMRON, PULSE, 81, / min"
