image,predictions
test0.png,"Every path is, the right path."
test1.jpeg,"on, CC, PULSE, /min, 74, S/, S, -, S"
test10.jpeg,"OMRON, SYS, 141, DIA, 84, S/, mmHg, mmHg"
test11.png,"OMRON, -, -, as, -, 08, 75, D, (, o, ., OF"
test12.png,"0:08, 02"
test13.png,/
test14.png,"18, 78"
test15.png,75
test16.png,
test17.png,106
test18.png,"E, 18"
test19.png,08
test2.jpeg,"on, G, SYS, mmHg, 127, DIA, mmHg, 79"
test20.png,"08686, :"
test3.jpeg,"n, PULSE /min 74, S"
test4.jpeg,"on, SYS, 127, DIA, 79, S, mmHg, mmHg"
test5.jpeg,PULSE Jain 74
test6.jpeg,SYS mmHg 127 DIA 79 VL
test7.jpeg,"PULSE min 67, :, /, :"
test8.jpeg,SYS mmHg 125 mmHg DIA 78
test9.jpeg,"OMRON, PULSE, /min, 81, S"
