image,predictions
test0.png,"Every path is, the right path."
test1.jpeg,"on, PULSE, min, 74, 与, S, S"
test10.jpeg,"omRon, SYS, 141, DIA, mmHg, mmHg, 84"
test11.png,"omRon, 106, 一压, ns, 开胎, 停止"
test12.png,"omRon, 高压, 118, 读出, 低压, n8, 开始, 脉, 70, 停止, m0:08, 设"
test13.png,
test14.png,"118, n8"
test15.png,n5
test16.png,门
test17.png,106
test18.png,118
test19.png,78
test2.jpeg,"on, SYS, DIA, mmHg, 127, mmHg, 79"
test20.png,08686
test3.jpeg,"n, PULSE, 74, 台, /min"
test4.jpeg,"on, SYS, 127, DIA, 79, 与, mmHg, mmHg"
test5.jpeg,"PULSE, ai, 74"
test6.jpeg,"SYS, 127 DIA, 79"
test7.jpeg,"PULSE, min, 67"
test8.jpeg,"SYS, DIA, mmHg, 125, 78"
test9.jpeg,"omRon, PULSE, /min, 81"
