image,predictions
test0.png,"Every path is, the right path."
test1.jpeg,"on, PULSE, 74, /'min"
test10.jpeg,"OMROn, SYS, 141, DIA, 84, mmHg, mmHg"
test11.png,"omROn, 106, nS"
test12.png,"0:08, (3"
test13.png,
test14.png,
test15.png,75
test16.png,
test17.png,106
test18.png,
test19.png,
test2.jpeg,"Ron, SYS, 127, DIA, 79, mmHg, mmHg"
test20.png,086867
test3.jpeg,"n, PULSE, 74, /min"
test4.jpeg,"on, 127, DIA, 79, SYS, mmig, mmHg"
test5.jpeg,"PULSE, 74"
test6.jpeg,"SYS, 127, DIA, 79"
test7.jpeg,"67, PULSE, /min"
test8.jpeg,"DIA, 78, SYS, 125, sallg"
test9.jpeg,"OMROn, PULSE, 81, /'min"
